Permit Class Mapped,Original Zip,Original Address,Property Legal Description,Total Job Valuation,Total Existing Bldg SQFT,Project Name,Day Issued,Contractor Company Name,Contractor Zip
Residential,78757.0,6001 NASCO DR,LOT 25 ALLANDALE SEC 4,0.0,2012.0,6001 NASCO DR,FRIDAY,Mosier Luxury Homes LLC,78705
Residential,78756.0,5405 MONTVIEW ST,N50FT OF W1793FT OF LOT 13 BLK 2 SHOALMONT ADDN RESUB,0.0,0.0,5405 MONTVIEW ST,FRIDAY,LOHR Homes,78731
Residential,78756.0,5405 MONTVIEW ST,N50FT OF W1793FT OF LOT 13 BLK 2 SHOALMONT ADDN RESUB,0.0,0.0,5405 MONTVIEW ST,MONDAY,LOHR Homes,78731
Residential,78704.0,2404 EUCLID AVE,LOT 3 BLK 2 LA PRELLE PLACE EXTENSION,0.0,0.0,2404 EUCLID AVE,MONDAY,Everhomes Company LLC,78624
Residential,78731.0,4810 PLACID PL,LOT 5 BLK C HIGHLAND VILLAGE SEC 4,0.0,1705.0,4810 PLACID PL,FRIDAY,Tusker Development,78731
Commercial,78758.0,10300 METROPOLITAN DR,45270AC OF LOT 4 RUTLAND DRIVE BUSINESS PARK SEC 3,0.0,0.0,10300 METROPOLITAN DR,THURSDAY,"Lloyd D. Nabors Demolition, LLC",75141
Commercial,78758.0,10300 METROPOLITAN DR,45270AC OF LOT 4 RUTLAND DRIVE BUSINESS PARK SEC 3,0.0,0.0,10300 METROPOLITAN DR,THURSDAY,"Lloyd D. Nabors Demolition, LLC",75141
Residential,78745.0,1608 FOREST HILL DR,LOT 5 BLK A PARK FOREST SEC 1,0.0,0.0,1608 FOREST HILL DR,WEDNESDAY,Pitch Construction,78745
Residential,78741.0,2101 THRASHER LN,71X1387 FT ABS 24 DELVALLE S,0.0,0.0,2101 THRASHER LN,MONDAY,Southwest Destructors****MAIN***,78763
Residential,78741.0,2101 THRASHER LN,71X1387 FT ABS 24 DELVALLE S,0.0,0.0,2101 THRASHER LN,MONDAY,Southwest Destructors****MAIN***,78763
Residential,78757.0,1706 PASADENA DR,LOT 14 BLK M CRESTVIEW ADDN SEC 3,0.0,0.0,1706 PASADENA DR,TUESDAY,Absolute Demolition Inc. main***,78630
Residential,78722.0,2604 OAKLAWN AVE,LOT 72 OLT 48 DIV B ISHERWOOD HEIGHTS,0.0,0.0,2604 OAKLAWN AVE,MONDAY,Habitat Haus LLC,78735
Residential,78741.0,1618 PARKER LN,,0.0,0.0,1618 PARKER LN,FRIDAY,DAR Construction,78714-2028
Residential,78731.0,4509 OAKMONT BLVD,LOT 24 SHOAL VILLAGE SEC 2,0.0,1400.0,4509 OAKMONT BLVD,MONDAY,"Paradisa Homes, LLC***MAIN***",78752
Residential,78704.0,2206 MONTCLAIRE ST,LOT 67 BLK 10 RABB INWOOD HILLS,0.0,0.0,2206 MONTCLAIRE ST,FRIDAY,Brewerton Construction,7845
Residential,78704.0,2206 MONTCLAIRE ST,LOT 67 BLK 10 RABB INWOOD HILLS,0.0,0.0,2206 MONTCLAIRE ST,FRIDAY,Brewerton Construction,7845
Residential,78721.0,1710 ADINA ST,LOT 5 BLK B FLOURNOYS EASTERN HILLS SEC 3PHS 2,0.0,0.0,1710 ADINA ST,SATURDAY,Pecan Valley Homes LLC***MAIN***,78732
Residential,78757.0,1915 PIEDMONT AVE,LOT 5 BLK E CRESTVIEW ADDN SEC 3,0.0,0.0,1915 PIEDMONT AVE,THURSDAY,DAR Construction,78714-2028
Residential,78722.0,3811 CHERRYWOOD RD,LOT 8 BLK D WILLOW BROOK,0.0,0.0,3811 CHERRYWOOD RD,THURSDAY,DAR Construction,78714-2028
Residential,78704.0,2903 OAKLANE DR,LOT 11 BLK E BARTON HILLS SEC 2,0.0,0.0,2903 OAKLANE DR,THURSDAY,Urban ATX Development,78741
Residential,78702.0,739 CHERICO ST,LOT 2 BLK 4 OLT 29 DIV A RESUB LOT 36 LATTIMORE SUBD,0.0,0.0,739 CHERICO ST,TUESDAY,CKN Capital Group,78745
Residential,78702.0,739 CHERICO ST,LOT 2 BLK 4 OLT 29 DIV A RESUB LOT 36 LATTIMORE SUBD,0.0,0.0,739 CHERICO ST,TUESDAY,CKN Capital Group,78745
Residential,78704.0,703 FLETCHER ST,CEN 35FT OF E205FT BLK 3 BAWCOM SUBD,0.0,0.0,703 FLETCHER ST,WEDNESDAY,J Angelo Design build,78639
Residential,78704.0,705 FLETCHER ST,W35FT OF E205FT BLK 3 BAWCOM SUBD,0.0,0.0,705 FLETCHER ST,WEDNESDAY,J Angelo Design build,78639
Residential,78702.0,921 WALTER ST,LOT 31A RESUB LTS 142933 BLK A OLT 12 DIV B ROSEWOOD VILLAGE SEC 8 AMENDED,0.0,0.0,921 WALTER ST,MONDAY,Southwest Destructors****MAIN***,78763
Residential,78731.0,2607 FISET DR,LOT 8 BLK B SHOALMONT SEC 5,0.0,0.0,2607 FISET DR,TUESDAY,DAR Construction,78714-2028
Residential,78746.0,6312 AYRES DR,LOT 32 DAVENPORT RANCH PHS 5 SEC 1,0.0,1325.0,6312 AYRES DR,TUESDAY,"Modern Pools, Inc.",78755
Residential,78702.0,3404 GOVALLE AVE,LOT 56  W 4024 FT OF LOT 4 PICKLE CLARA SUBD  162 AC OF OLT 4749 DIV A,0.0,0.0,3404 GOVALLE AVE,MONDAY,D.A.R Construction MAIN,78714-2028
Residential,78704.0,1704 KINNEY AVE,ABS 8 SUR 20 DECKER I ACR 02363,0.0,0.0,1704 KINNEY AVE,MONDAY,ATX Pro Builders,78745
Residential,78702.0,2904 WEBBERVILLE RD,LOT 3A BLK 1 HARGRAVES RESUB LORRAINE HEIGHTS PLUS 12 ADJ VAC ALLEY,0.0,784.0,2904 WEBBERVILLE RD,WEDNESDAY,Avery Building Company,78750
Residential,78735.0,8703 MOUNTAIN CREST DR,BLK K MOUNTAIN SHADOWS,0.0,0.0,8703 MOUNTAIN CREST DR,WEDNESDAY,Dallas Demolition Company,75202
Residential,78735.0,8709 SKY MOUNTAIN DR,,0.0,0.0,8709 SKY MOUNTAIN DR,WEDNESDAY,Dallas Demolition Company,75202
Residential,78752.0,310 CANION ST,LOT 9 BLK M PLAZA PLACE,0.0,0.0,310 CANION ST,MONDAY,Drew Homes,78726
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Commercial,78745.0,4515 S CONGRESS AVE,23727 AC OF BLK 25 FORTVIEW ADDN,0.0,0.0,4515 S CONGRESS AVE,TUESDAY,Jordan Foster Construction,78015
Residential,78723.0,5202 OLD MANOR RD,LOT 6 BLK A WINDSOR PARK III SEC 2,0.0,1079.0,5202 OLD MANOR RD,TUESDAY,A Vision General Contractors LLC,78760
Residential,78744.0,9016 NUCKOLS CROSSING RD,ABS 24 DELVALLE S ACR 1746,0.0,0.0,9016 NUCKOLS CROSSING RD,FRIDAY,AAR Inc.,78642
Residential,78705.0,810 W 31ST ST,LOT A OAKWOOD ADDN AMENDED LOT 6870,0.0,0.0,810 W 31ST ST,TUESDAY,Duckworth Property Dev,78705
Residential,78704.0,2916 KASSARINE PASS,LOT A OLMSTEAD HOMESTEAD,0.0,0.0,2916 KASSARINE PASS,TUESDAY,Fannin Investments Austin,78745
Residential,78704.0,2614 FRIAR TUCK LN,LOT 8 BLK 9 SHERWOOD OAKS SEC 4,0.0,0.0,2614 FRIAR TUCK LN,WEDNESDAY,Fontanet Weston LLC,78726
Residential,78722.0,1301 E 30TH ST,LOT 1 BLK I RESUB BLKS IFC DANCY ADDN,0.0,334.0,1301 E 30TH ST,FRIDAY,,78722
Residential,78746.0,1881 WESTLAKE DR,ABS 21 SUR 1 SPARKS W ACR 102,0.0,0.0,1881 WESTLAKE DR,THURSDAY,Rauser Construction,78757
Residential,78746.0,1881 WESTLAKE DR,ABS 21 SUR 1 SPARKS W ACR 102,0.0,0.0,1881 WESTLAKE DR,THURSDAY,Rauser Construction,78757
Residential,78746.0,1881 WESTLAKE DR,ABS 21 SUR 1 SPARKS W ACR 102,0.0,0.0,1881 WESTLAKE DR,THURSDAY,Rauser Construction,78757
Residential,78735.0,5808 KEMPSON DR,LOT 15 BLK G LANTANA SEC 3,0.0,0.0,5808 KEMPSON DR,MONDAY,Premier Pools & Spa,78739
Residential,78752.0,7210 MARCELL ST,LOT 8 JOHNSON HEIGHTS,0.0,0.0,7210 MARCELL ST,MONDAY,Otto Design Build **MAIN**,78749
Residential,78741.0,5702 PENICK DR,LOT 7 PENICK PLACE,0.0,0.0,5702 PENICK DR,MONDAY,Otto Design Build **MAIN**,78749
Residential,78704.0,2905 OAK PARK DR,LOT 3 BLK D BARTON HILLS SEC 1,0.0,0.0,2905 OAK PARK DR,THURSDAY,Urban ATX Development LLC,78704
Residential,78704.0,2901 CEDARVIEW DR,LOT 7 BLK O BARTON HILLS SEC 2,0.0,0.0,2901 CEDARVIEW DR,THURSDAY,Urban ATX Development,78741
Residential,78702.0,2605 DIAZ ST,LOT 66 OLT 22 DIV A SIMMS PAUL O,0.0,0.0,2605 DIAZ ST,WEDNESDAY,"HayLou Builders, LLC (MAIN)",78748
Residential,78704.0,2100 AIROLE WAY,LOT 1 BLK A FORTUNE ESTATES SEC 4,0.0,0.0,2100 AIROLE WAY,WEDNESDAY,Austin Demolition DJ- Homes,78760
Residential,78721.0,1127 CHRISTIE DR,LOT 26 HOBBS ADDN,0.0,0.0,1127 CHRISTIE DR,WEDNESDAY,"Urban Nature, Inc",78704
Residential,78703.0,1704 MOHLE DR,E 5 FT OF LOT 23  W 50 FT OF LOT 24 BLK 2 BRYKERWOODS C,0.0,0.0,1704 MOHLE DR,MONDAY,Demolition In Austin,78701
Commercial,78758.0,11630 N LAMAR BLVD,LOT 8 STARK FRANK SUBD,0.0,0.0,11630 N LAMAR BLVD,WEDNESDAY,BEC Austin,78746
Commercial,78758.0,11630 N LAMAR BLVD,LOT 8 STARK FRANK SUBD,0.0,0.0,11630 N LAMAR BLVD,WEDNESDAY,BEC Austin,78746
Residential,78704.0,502 E LIVE OAK ST,LOT 12A  RESUB OF LOT 1112 PLEASANT VIEW ADDN,0.0,0.0,502 E LIVE OAK ST,WEDNESDAY,Moiroce GC Corporation,78640
Residential,78723.0,2211 PALO PINTO DR,LOT 5 BLK A OLT 51 DIV B MANOR ROAD ADDN,0.0,0.0,2211 PALO PINTO DR,THURSDAY,Imperial Painting and Construction,78724
Residential,78703.0,1906 VISTA LN,LOT 71A TARRY TOWN PLACE AMENDED PLAT OF LOTS 6871,0.0,2650.0,1906 VISTA LN,MONDAY,GOSSETT & COMPANY LLC,78705
Residential,78702.0,1306 E 3RD ST,LOT 4 BLK 8 OLT 3 DIV O GARY  PECK,0.0,768.0,1306 E 3RD ST,THURSDAY,Pecan Valley Homes LLC***MAIN***,78732
Residential,78704.0,1604 S 2ND ST,02800 ACR OF BLK C BOULDIN J E ESTATE,0.0,840.0,1604 S 2ND ST,THURSDAY,Joseph Design Build**MAIN***,78704
Residential,78751.0,5213 EVANS AVE,LOT 1314 BLK 21 HIGHLANDS THE,0.0,984.0,5213 EVANS AVE,MONDAY,"Williams Austin, Inc.",78701
Residential,78722.0,1501 CONCORDIA AVE,LOT 9 BLK 2 OLT 30 DIV C UPLAND ADDN,0.0,0.0,1501 CONCORDIA AVE,WEDNESDAY,Morgan Holland Homes,78746
Residential,78721.0,1729 BUNCHE RD,LOT 15 BLK C TRUMAN HEIGHTS,0.0,0.0,1729 BUNCHE RD,WEDNESDAY,Bravo petro Services,78733
Residential,78704.0,2700 FRIAR TUCK LN,LOT 9 BLK 9 SHERWOOD OAKS SEC 4,0.0,2063.0,2700 FRIAR TUCK LN,MONDAY,Combat Works Inc,78737
Residential,78704.0,2108 MATTERHORN LN,LOT 7 LESS NW TRI  SW TRI LOT 6 BLK D BARTON HILLS WEST SEC 1,0.0,0.0,2108 MATTERHORN LN,MONDAY,Joseph Design Build**MAIN***,78704
Residential,78704.0,2601 BARTON HILLS DR,LOT 1 BLK E HORSESHOE BEND,0.0,0.0,2601 BARTON HILLS DR,WEDNESDAY,Joseph Design Build**MAIN***,78704
Residential,78703.0,612 HIGHLAND AVE,LOT 12 BLK B OLT 3 DIV Z TERRACE PARK,0.0,0.0,612 HIGHLAND AVE,TUESDAY,Southwest Destructors****MAIN***,78763
Residential,78703.0,1404 PRESTON AVE,E 40 FT OF LOT 12  W 30 FT OF LOT 13 BLK 17 PEMBERTON HEIGHTS SEC 8,0.0,0.0,1404 PRESTON AVE,WEDNESDAY,CB Crafted Homes,78746
Residential,78757.0,7504 HARDY DR,LOT 9 BLK R CRESTVIEW ADDN SEC 4,0.0,0.0,7504 HARDY DR,FRIDAY,CCG Development **MAIN**,78746
Residential,78757.0,7504 HARDY DR,LOT 9 BLK R CRESTVIEW ADDN SEC 4,0.0,0.0,7504 HARDY DR,FRIDAY,CCG Development **MAIN**,78746
Residential,78704.0,3504 S 1ST ST,S90X4075FT AV OF LOT 2 BLK 2 FREEWATER ADDN,0.0,1917.0,3504 S 1ST ST,THURSDAY,Provident General Contractors,75231
Residential,78704.0,3504 S 1ST ST,S90X4075FT AV OF LOT 2 BLK 2 FREEWATER ADDN,0.0,342.0,3504 S 1ST ST,THURSDAY,Provident General Contractors,75231
Residential,78703.0,1904 MOUNTAIN VIEW RD,LOT 123 TARRY TOWN NO 3,0.0,0.0,1904 MOUNTAIN VIEW RD,FRIDAY,CA BUILDERS LLC,78734
Residential,78703.0,1904 MOUNTAIN VIEW RD,LOT 123 TARRY TOWN NO 3,0.0,0.0,1904 MOUNTAIN VIEW RD,FRIDAY,CA BUILDERS LLC,78734
Residential,78746.0,3509 PEREGRINE FALCON DR,LOT 29 BLK A WOODHAVEN,0.0,0.0,3509 PEREGRINE FALCON DR,SUNDAY,DAR Demolition,78714-2028
Residential,78704.0,2806 BRINWOOD AVE,LOT 16 BLK 10 BRINWOOD SEC 3,0.0,0.0,2806 BRINWOOD AVE,TUESDAY,NWS Construction LLC MAIN****,78765
Residential,78756.0,1610 HOUSTON ST,,0.0,0.0,1610 HOUSTON ST,THURSDAY,"Paradisa Homes, LLC***MAIN***",78752
Residential,78702.0,800 MAUDE ST,S 575FT OF LOT 1920 BLK 2 OLT 3435 DIV A JONES I P SUBD,0.0,744.0,800 MAUDE ST,MONDAY,TS LANDSCAPE LLC,78613
Residential,78702.0,800 MAUDE ST,S 575FT OF LOT 1920 BLK 2 OLT 3435 DIV A JONES I P SUBD,0.0,480.0,800 MAUDE ST,MONDAY,TS LANDSCAPE LLC,78613
Commercial,78702.0,2324 E CESAR CHAVEZ ST,LOT 2 SUN TEX SUBD RESUB OF LOT 11A,0.0,2400.0,2324 E CESAR CHAVEZ ST,THURSDAY,Capital City Demolition & Construction,78744
Residential,78752.0,400 BLACKSON AVE,LOT 21 BLK 8 ST JOHNS HOME ADDN,0.0,0.0,400 BLACKSON AVE,THURSDAY,DAR Construction,78714-2028
Residential,78704.0,1019 W MILTON ST,LOT 1017 BLK G CAPITAL HEIGHTS,0.0,0.0,1019 W MILTON ST,MONDAY,JVH Construction LLC,78628
Residential,78702.0,1121 GUNTER ST,44 X 168 FT OLT 48 DIVISION A,0.0,0.0,1121 GUNTER ST,THURSDAY,CKN Capital Group,78745
Residential,78702.0,1121 GUNTER ST,44 X 168 FT OLT 48 DIVISION A,0.0,0.0,1121 GUNTER ST,THURSDAY,CKN Capital Group,78745
Residential,78702.0,911 LINDEN ST,LOT 15 BLK 3 OLT 3843 DIV A BURATTI  CHERICO,0.0,0.0,911 LINDEN ST,THURSDAY,CKN Capital Group,78745
Residential,78731.0,3312 BIG BEND DR,LOT 7 BLK L HIGHLAND PARK WEST,0.0,0.0,3312 BIG BEND DR,TUESDAY,DAR Construction,78714-2028
Residential,78704.0,704 W JOHANNA ST,LOT 14 BLK H BOULDIN JAMES E ADDN,0.0,0.0,704 W JOHANNA ST,THURSDAY,Roost Custom Homes,78763
Residential,78741.0,6813 SUENA DR,LOT 7 BLK B VILLA SUENA SEC 2,0.0,1550.0,6813 SUENA DR,FRIDAY,Precise Custom Homes Inc **MAIN**,78660
Residential,78704.0,2209 KINNEY RD,S 60FT OF LOT 9 BLK 2 FREDERICKSBURG ROAD ACRES,0.0,1144.0,2209 KINNEY RD,FRIDAY,DAR Construction,78714-2028
Residential,78703.0,2005 WINSTED LN,LOT 1 BLK 1 LESS E 1482 FT WARD  TREADWELL,0.0,0.0,2005 WINSTED LN,FRIDAY,DAR Construction,78714-2028
Residential,78731.0,5502 BLUERIDGE CT,LOT 58 BLK D LAKEWOOD VILLAGE,0.0,0.0,5502 BLUERIDGE CT,FRIDAY,DAR Construction,78714-2028
Residential,78702.0,2304 E 14TH ST,LOT 4 BLK 13 OLT 3233 DIV B GLENWOOD ADDN,0.0,616.0,2304 E 14TH ST,FRIDAY,DAR Construction,78714-2028
Residential,78703.0,2103 FOREST TRL,LOT 7 TARRY TOWN PLACE,0.0,0.0,2103 FOREST TRL,FRIDAY,DAR Construction,78714-2028
Residential,78741.0,6215 HOGAN AVE,LOT 2 BLK B FAIRWAY GREENS SEC 1,0.0,0.0,6215 HOGAN AVE,FRIDAY,DAR Construction,78714-2028
Residential,78704.0,3102 GARDEN VILLA LN,LOT 8 BLK B GARDEN OAKS SEC 1,0.0,0.0,3102 GARDEN VILLA LN,WEDNESDAY,TCC Builders,78746
Residential,78745.0,1609 MATTHEWS LN,LOT 1 RESUB OF PT OF LOT 1 FITZHUGH J G  HENRY SUBD,0.0,0.0,1609 MATTHEWS LN,WEDNESDAY,Southwest Destructors****MAIN***,78763
Residential,78745.0,4420 JINX AVE,N50FT OF LOT 14 BLK F BANISTER ACRES SEC 2,0.0,0.0,4420 JINX AVE,FRIDAY,New Vision Construction,78665
Residential,78723.0,1605 WESTMOOR DR,LOT 12 BLK F WINDSOR PARK SEC 1,0.0,0.0,1605 WESTMOOR DR,MONDAY,Guardian Custom Builders,78702
Residential,78745.0,1928 MILES AVE,LOT 17A MANCHACA ESTATES RESUB LT 17 BLK 2,0.0,288.0,1928 MILES AVE,THURSDAY,Haulbrooke INC.,78154
Residential,78702.0,5109 GLISSMAN RD,LOT 3 GLISMANN SUBD,0.0,0.0,5109 GLISSMAN RD,MONDAY,Guardian Custom Builders****MAIN***,78702
Residential,78731.0,4105 SHIMMERING CV,LOT 15 WATERSEDGE SEC 2A,0.0,0.0,4105 SHIMMERING CV,WEDNESDAY,"Crowell Builders, Inc.  **MAIN**",78746
Residential,78731.0,4105 SHIMMERING CV,LOT 15 WATERSEDGE SEC 2A,0.0,0.0,4105 SHIMMERING CV,WEDNESDAY,"Crowell Builders, Inc.  **MAIN**",78746
Residential,78704.0,1819 SPILLMAN ST,LOT 13 BLK D SOUTH LUND SOUTH,0.0,0.0,1819 SPILLMAN ST,MONDAY,DAR Demolition,78714-2028
Residential,78704.0,2007 S 2ND ST,LOT 9B RESUB LOT 9 BLK F BOULDIN JAMES E ADDN,0.0,0.0,2007 S 2ND ST,MONDAY,DAR Demolition,78714-2028
Residential,78704.0,2007 S 2ND ST,LOT 9B RESUB LOT 9 BLK F BOULDIN JAMES E ADDN,0.0,0.0,2007 S 2ND ST,MONDAY,DAR Demolition,78714-2028
Residential,78705.0,824 HARRIS AVE,W50FT OF LOT 16 OLT 69 DIV C BEAU SITE,0.0,0.0,824 HARRIS AVE,WEDNESDAY,Meeks Slack Construction LLC,78721
Residential,78704.0,1813 SPILLMAN ST,LOT 16 BLK D SOUTH LUND SOUTH,0.0,0.0,1813 SPILLMAN ST,MONDAY,DAR Demolition,78714-2028
Residential,78704.0,211 CUMBERLAND RD,LOT 1B BLK A LIVE OAK GROVE ADDN RESUB LOT 1 BLK A OF RSB OF PT OF LOT 2,0.0,1250.0,211 CUMBERLAND RD,THURSDAY,B A Development Services,78602
Residential,78757.0,1108 RUTH AVE,LOT 15 BLK A VIOLET CROWN HEIGHTS SEC 1,0.0,0.0,1108 RUTH AVE,MONDAY,Rosewood Construction,78757
Residential,78757.0,1108 RUTH AVE,LOT 15 BLK A VIOLET CROWN HEIGHTS SEC 1,0.0,0.0,1108 RUTH AVE,MONDAY,Rosewood Construction,78757
Residential,78702.0,900 CHERICO ST,LOT 12 OLT 39 DIV A DELZELL SUBD SEC 2,0.0,0.0,900 CHERICO ST,THURSDAY,CKN Capital Group,78745
Residential,78721.0,1600 PEREZ ST,LOT 5354 PAN TEXAS EAST,0.0,0.0,1600 PEREZ ST,FRIDAY,DAR Construction,78714-2028
Residential,78731.0,3809 ROCKLEDGE DR,LOT 16 BLK M NORTHWEST HILLS SEC 8,0.0,0.0,3809 ROCKLEDGE DR,FRIDAY,Absolute Demolition Inc. main***,78630
Residential,78731.0,3809 ROCKLEDGE DR,LOT 16 BLK M NORTHWEST HILLS SEC 8,0.0,0.0,3809 ROCKLEDGE DR,FRIDAY,Absolute Demolition Inc. main***,78630
Residential,78731.0,3809 ROCKLEDGE DR,LOT 16 BLK M NORTHWEST HILLS SEC 8,0.0,0.0,3809 ROCKLEDGE DR,FRIDAY,Absolute Demolition Inc. main***,78630
Residential,78745.0,4703 CLAWSON RD,,1.0,1184.0,4703 CLAWSON RD,WEDNESDAY,Absolute Demolition Inc. main***,78630
Residential,78759.0,6500 DANWOOD DR,LOT 11 BLK D HUNTER OAKS,0.0,0.0,6500 DANWOOD DR,MONDAY,Southwest Destructors****MAIN***,78763
Commercial,78758.0,9003 WATERFORD CENTRE BLVD,LOT 1 BLK C WATERFORD CENTRE AMENDED PLAT OF LTS 14 BLK C,0.0,0.0,9003 WATERFORD CENTRE BLVD,THURSDAY,"Lloyd D. Nabors Demolition, LLC",75141
Residential,78746.0,1703 BAY HILL DR,LOT 26 BLK C HILLS OF LOST CREEK SEC 5,0.0,0.0,1703 BAY HILL DR,MONDAY,Villani & Graham (MAIN),78735
Residential,78702.0,1410 E CESAR CHAVEZ ST,E6075FT OF S1485 OF W318FT OLT 20 DIVISION O,0.0,0.0,1410 E CESAR CHAVEZ ST,MONDAY,DAR Demolition,78714-2028
Commercial,78757.0,6800 WOODROW AVE,LOT 1316 LOT 3033 BELLAIRE HEIGHTS SEC 2  PRORATE 3420  123120,0.0,0.0,6800 WOODROW AVE,MONDAY,"Urbane Roost Custom Homes, LLC",78703
Residential,78704.0,1904 COLLIER ST,LOT 13 BLK C BARTON HEIGHTS B,0.0,0.0,1904 COLLIER ST,MONDAY,ATX Pro Builders,78745
Residential,78704.0,1904 COLLIER ST,LOT 13 BLK C BARTON HEIGHTS B,0.0,0.0,1904 COLLIER ST,MONDAY,ATX Pro Builders,78745
Residential,78704.0,1807 COLLIER ST,LOT 3 BLK A BARTON HEIGHTS B ANNEX,0.0,1228.0,1807 COLLIER ST,TUESDAY,ATX Pro Builders,78745
Residential,78704.0,1807 COLLIER ST,LOT 3 BLK A BARTON HEIGHTS B ANNEX,0.0,248.0,1807 COLLIER ST,TUESDAY,ATX Pro Builders,78745
Residential,78704.0,3003 OAK HAVEN DR,LOT 7 BLK B BARTON HILLS SEC 1,0.0,0.0,3003 OAK HAVEN DR,WEDNESDAY,Urban ATX Development,78646
Residential,78704.0,2109 GLENDALE PL,LOT 9 BLK 38 TRAVIS HEIGHTS,0.0,0.0,2109 GLENDALE PL,WEDNESDAY,Urban ATX Development,78646
Residential,78704.0,2015 DE VERNE ST,LOT 8 BLK 7 RABB INWOOD HILLS,0.0,0.0,2015 DE VERNE ST,MONDAY,"Paradisa Homes, LLC***MAIN***",78752
Residential,78704.0,2100 PRATHER LN,ABS 676 SUR 19 RIDDLE C H 75 X 172FT,0.0,1377.0,2100 PRATHER LN,FRIDAY,MAG Construction Management LLC,78652
Residential,78704.0,2100 PRATHER LN,ABS 676 SUR 19 RIDDLE C H 75 X 172FT,0.0,360.0,2100 PRATHER LN,FRIDAY,MAG Construction Management LLC,78652
Residential,78745.0,7602 WYNNE LN,LOT 8 BLK B BROWNLEAF ESTATES MH EMC0KR147661491001 MH S 1002 MH S0355058OR TEX1902551003,0.0,294.0,7602 WYNNE LN,FRIDAY,,78745
Residential,78745.0,6001 EUREKA DR,LOT 11 BLK G OASIS VILLAGE SEC 3,0.0,0.0,6001 EUREKA DR,FRIDAY,"Paradisa Homes, LLC***MAIN***",78752
Residential,78726.0,11909 ANDERSON MILL RD,ABS 317 SUR 25 GRIMES J ACR 09713,1.0,1950.0,11909 ANDERSON MILL RD,THURSDAY,AAR Inc.,78642
Residential,78702.0,1208 HARVEY ST,48 X 1201 FT OLT 29 DIVISION B,0.0,0.0,1208 HARVEY ST,WEDNESDAY,NEERG,78761
Residential,78704.0,803 W JAMES ST,LOT 3 BLK 5 SOUTH HEIGHTS,0.0,0.0,803 W JAMES ST,THURSDAY,GOSSETT & COMPANY LLC,78705
Residential,78704.0,803 W JAMES ST,LOT 3 BLK 5 SOUTH HEIGHTS,0.0,0.0,803 W JAMES ST,THURSDAY,GOSSETT & COMPANY LLC,78705
Residential,78704.0,1100 JUANITA ST,LOT 1 BLK E LA PERLA,0.0,1216.0,1100 JUANITA ST,TUESDAY,Matt Sitra Custom Homes,78738-____
Residential,78704.0,1100 JUANITA ST,LOT 1 BLK E LA PERLA,0.0,0.0,1100 JUANITA ST,TUESDAY,M Sitra Custom Homes,78746
Residential,78734.0,203 LAGO VERDE DR,LOT 5 BLK 1 RIO VISTA ADDN,0.0,0.0,203 LAGO VERDE DR,THURSDAY,Arbogast Homes LP.,
