Permit Class Mapped,Original Zip,Original Address,Property Legal Description,Total Job Valuation,Total Existing Bldg SQFT,Project Name,Day Issued,Contractor Company Name,Contractor Zip
Residential,78704.0,1504 TREADWELL ST,S 11018 FT AV OF LOT 10 SHELTONS JOHN R RESUB,5000.0,1400.0,1504 TREADWELL ST,WEDNESDAY,,78704-2219
Residential,78751.0,804 E 47TH ST,,20000.0,0.0,804 E 47TH ST,TUESDAY,UR Build LLC,78704
Residential,78751.0,4709 CASWELL AVE,,20000.0,0.0,4709 CASWELL AVE,TUESDAY,UR Build LLC,78704
Residential,78751.0,4707 CASWELL AVE,,20000.0,0.0,4707 CASWELL AVE,TUESDAY,UR Build LLC,78704
Residential,78751.0,4705 CASWELL AVE,,20000.0,0.0,4705 CASWELL AVE,TUESDAY,UR Build LLC,78704
Residential,78731.0,3302 HANCOCK DR,LOT 2 BLK K HIGHLAND PARK WEST,8800.0,1232.0,3302 HANCOCK DR,MONDAY,Property Loss Claims Inc,78729
Residential,78756.0,5400 SUNSHINE DR,LOT 10 BLK 3 SKYLAND TERRACE,300.0,340.0,5400 SUNSHINE DR,TUESDAY,,78737
Commercial,78702.0,1022 E 12TH ST,LOT 1314 OLT 41 DIVISION B,7000.0,0.0,1022 E 12TH ST,MONDAY,DAR Construction,78714
Residential,78705.0,704 W 25TH ST,087 AC OF OLT 52 DIVISION D  S 26FT OF LOT 21  LOT 2224 WOOTEN GOODALL SUBD,12000.0,6000.0,704 W 25TH ST,THURSDAY,"Total Demolition, Inc.",78617
Residential,78751.0,5305 AVENUE G,LOT 27  28 BLK 42 HIGHLANDS THE,7000.0,1450.0,5305 AVENUE G,FRIDAY,Will Owen Design/Build,78621
Residential,78730.0,6607 WEST COURTYARD DR,LOT 12 BLK A SHEPHERD MOUNTAIN PHS 2,10000.0,1800.0,6607 WEST COURTYARD DR,MONDAY,Absolute Demolition,78630
Residential,78721.0,4707 DELORES AVE,LOT 6 BLK 10 EASTFIELD,0.0,0.0,4707 DELORES AVE,TUESDAY,"OCHO CABALLOS PROP, L. L. C.",78754
Residential,78705.0,907 W 21ST ST,08790 AC OF OLT 25 DIVISION D,1500.0,0.0,907 W 21ST ST,THURSDAY,,78758
Residential,78705.0,907 W 21ST ST,08790 AC OF OLT 25 DIVISION D,15000.0,0.0,907 W 21ST ST,THURSDAY,,78758
Commercial,78705.0,909 W 21ST ST,08790 AC OF OLT 25 DIVISION D,10000.0,0.0,909 W 21ST ST,THURSDAY,,78758
Residential,78702.0,1809 SINGLETON AVE,LOT 13 BLK 2 OLT 3233 DIV B GLENWOOD ADDN,4000.0,900.0,1809 SINGLETON AVE,TUESDAY,"Cool River Custom Homes, Inc.",78680-1474
Residential,78703.0,2304 WESTOVER RD,LOT 13 BLK 4 BROWN HERMAN ADDN,7000.0,1200.0,2304 WESTOVER RD,WEDNESDAY,,78746
Residential,78702.0,1187 HARGRAVE ST,187AC OF BLK 8 OLT 13 205AC OF OLT 14 DIVISION B  LOT 15 BLK 12 OWENS SUBD NO 2,5000.0,0.0,1187 HARGRAVE ST,TUESDAY,Ridgeline Investments,
Residential,78702.0,1185 HARGRAVE ST,LOT 2 OLT 13 DIV B HOFHEINZ SUBD,5000.0,0.0,1185 HARGRAVE ST,TUESDAY,Ridgeline Investments,
Commercial,78759.0,12176 N MOPAC EXPY SVRD SB,LOT A TEXAS PROPERTIES SUBD II,29000.0,6400.0,12176 N MOPAC EXPY SB,FRIDAY,Austin Canyon Corporation,78751
Residential,78751.0,206 W NORTH LOOP BLVD,LOT 135 NORTHFIELD ADDN,5000.0,0.0,206 W NORTH LOOP BLVD,THURSDAY,Reese Custom Home Builders,78728
Residential,78751.0,4801 RED RIVER ST,LOT 14 BLK 13 OLT 17 DIV C RIDGETOP ANNEX,5000.0,0.0,4801 RED RIVER ST,TUESDAY,"Ivey Construction Company, RDC",78602
Residential,78751.0,311 W 41ST ST,E65FT LOT 14 BLK 6 HYDE PARK ADDN NO 2,5000.0,0.0,311 W 41ST ST,THURSDAY,Square One Construction,78751
Residential,78704.0,2500 WILSON ST,56X1375 FT OF LOT 11 LIVE OAK GROVE ADDN,0.0,,2500 WILSON ST,FRIDAY,,78704
Residential,78731.0,4204 GNARL DR,LOT 24 BLK H NORTHWEST HILLS MESA OAKS PHS 2,10000.0,0.0,4204 GNARL DR,MONDAY,Stuart Home Corporation,78746
Commercial,78702.0,1195 HARGRAVE ST,187AC OF BLK 8 OLT 13 205AC OF OLT 14 DIVISION B  LOT 15 BLK 12 OWENS SUBD NO 2,3000.0,1200.0,1195 HARGRAVE ST,THURSDAY,Ridgeline Investments,
Commercial,78756.0,5608 GROVER AVE,LOT E GROVERS PARADISE,15000.0,8000.0,5608 GROVER AVE,THURSDAY,DAR Construction,78714-2028
Residential,78759.0,11408 OAK VIEW DR,LOT 2 OAK FOREST SCHOOL SUBD,5000.0,1800.0,11408 OAK VIEW DR,THURSDAY,"Braun & Butler Construction, Inc.",78613
Commercial,78705.0,2222 PEARL ST,LOT 3335 OLT 39 DIV D WOOLDRIDGE MARY ANN RESUB,25000.0,16000.0,2222 PEARL ST,THURSDAY,"Total Demolition, Inc.",78617
Commercial,78705.0,1905 NUECES ST,LOT 17  18 OLT 23 DIV D HORSTS LOUIS SUBD,15000.0,8000.0,1905 NUECES ST,THURSDAY,Rogers-O'Brien Construction,78704
Commercial,78705.0,1907 NUECES ST,LOT 17  18 OLT 23 DIV D HORSTS LOUIS SUBD,15000.0,8000.0,1907 NUECES ST,THURSDAY,Rogers-O'Brien Construction,78704
Commercial,78705.0,2511 PEARL ST,LOT 1819 OLT 53 DIV D WOOTEN GOODALL SUBD  1581AC OF OLT 53 DIVISION D,5000.0,3000.0,2511 PEARL ST,THURSDAY,DAR Construction,78714-2028
Commercial,78703.0,1513 ENFIELD RD,LOT 44B COFFMAN ROXAN ADDN,10000.0,2504.0,1513 ENFIELD RD,FRIDAY,,92691
Residential,78733.0,10610 RIVER TER,LOT 12 PANORAMA RANCH SEC 1,10000.0,2700.0,10610 RIVER TER,TUESDAY,,78733
Residential,78757.0,1702 GOODNIGHT LN,LOT 2 BLK E VALLEJO,2000.0,132.0,1702 GOODNIGHT LN,MONDAY,Dominique Levesque Construction,78757
Residential,78704.0,1611 LINSCOMB AVE,LOT 3637 BLK A BARTON HEIGHTS,20000.0,1400.0,1611 LINSCOMB AVE,WEDNESDAY,Brown & Sons House Movers,78617
Residential,78746.0,6704 PIXIE CV,LOT 58 LESS NE TRI PLUS SW 120 SQ FT OF LOT 59 BLK A RIVERCREST ADDN SEC 2 TOTAL 02400 ACRES,20000.0,2200.0,6704 PIXIE CV,MONDAY,Philip Hogan Inc DBA Hogan Demolition Co.,78642
Residential,78757.0,2300 DORIS DR,,8200.0,1100.0,2300 DORIS DR,WEDNESDAY,Billingsley House Moving and Demolition,78562
Residential,78751.0,5309 GUADALUPE ST,,10000.0,0.0,5309 GUADALUPE ST,MONDAY,"W Building & Design, LLC",78731
Residential,78751.0,5305 GUADALUPE ST BLDG A,,10000.0,0.0,5305 GUADALUPE ST BLDG A,MONDAY,"W Building & Design, LLC",78731
Residential,78702.0,2106 E 14TH ST,LOT 4 BLK 11 OLT 34 DIVISION B,5000.0,0.0,2106 E 14TH ST,WEDNESDAY,"Glauser Green Building, LLC",78702
Commercial,78744.0,6800 BURLESON RD,,20000.0,0.0,6800 BURLESON RD,WEDNESDAY,"Met Center II Nyctex, Phase II, LTD.",78703
Residential,78704.0,2012 RUNDELL PL,LOT 36 SUN TERRACE,5000.0,0.0,2012 RUNDELL PL,WEDNESDAY,Mazur Associates,
Residential,78704.0,2415 DURWOOD ST,,1900.0,0.0,2415 DURWOOD ST,WEDNESDAY,M & J Foundation,
Residential,78745.0,504 PHILCO DR,LOT 20 ALAMO HEIGHTS SEC 2,250.0,0.0,504 PHILCO DR,WEDNESDAY,,
Residential,78704.0,1704 BAUERLE AVE,E 195 FT OF LOT 23  W 3245 FT OF LOT 24 BLK B WEST END ADDN,1000.0,650.0,1704 BAUERLE AVE,WEDNESDAY,,78739-1691
Residential,78702.0,1703 1/2 CLIFFORD AVE,S 418 FT OF W 1045 FT OF LOT 16 LESS W 10 FT OLT 28 DIVISION B,1000.0,576.0,1703 1/2 CLIFFORD AVE,WEDNESDAY,,
Residential,78753.0,401 OAK PLZ,LOT 1 BLK G DEAN TERRACE,5000.0,1000.0,401 OAK PLZ,THURSDAY,DAR Construction,78714
Residential,78703.0,1204 BELMONT PKWY,LOT 20 BELMONT,50000.0,4282.0,1204 BELMONT PKWY,THURSDAY,D.A.R Construction MAIN,78714-2028
Residential,78756.0,5608 JIM HOGG AVE,,5000.0,1100.0,5608 JIM HOGG AVE,THURSDAY,D.A.R Construction MAIN,78714-2028
Commercial,78702.0,1514 E 12TH ST,036AC OF BLK 1 OLT 36 DIVISION B,3000.0,0.0,1514 E 12TH ST,TUESDAY,"Aaxis Construction, LLC",78749
Commercial,78704.0,112 ACADEMY DR,ALL OF BLK 72 FAIRVIEW PARK COMMERCIAL PERSONAL PROPERTY,5000.0,0.0,112 ACADEMY DR,WEDNESDAY,Juan I. Perea,78747
Residential,78704.0,2317 S 3RD ST,LOT 7 BLK D LOMA LINDA,4400.0,700.0,706 W OLTORF ST,THURSDAY,Avalar Real Estate Services,78738
Residential,78723.0,3101 EDGEDALE DR,LOT 3 LOUIS SUBD,5000.0,1700.0,3101 EDGEDALE DR,MONDAY,,
Commercial,78757.0,7600 WOODROW AVE,LOT 1 RESUB LOTS 1319 BLK W CRESTVIEW ADDN SEC 8 LOT 2023 BLK W CRESTVIEW ADDN SEC 9,10000.0,0.0,7600 WOODROW AVE,WEDNESDAY,,
Residential,78703.0,2517 MC CALLUM DR,LOT 2 BLK 20 PEMBERTON HEIGHTS SEC 8,8000.0,2400.0,2517 MC CALLUM DR,TUESDAY,Katz Builders,78735
Residential,78705.0,2515 PEARL ST,LOT 1819 OLT 53 DIV D WOOTEN GOODALL SUBD  1581AC OF OLT 53 DIVISION D,6000.0,2000.0,2515 PEARL ST,THURSDAY,DAR Construction,78714-2028
Residential,78705.0,706 W 25TH ST,087 AC OF OLT 52 DIVISION D  S 26FT OF LOT 21  LOT 2224 WOOTEN GOODALL SUBD,6000.0,6000.0,706 W 25TH ST,THURSDAY,"Total Demolition, Inc.",78617
Residential,78744.0,5407 VINE HILL DR,LOT 5 BLK M ONION CREEK FOREST SEC 2 AMENDED,4800.0,938.0,5407 VINE HILL DR,FRIDAY,AAR Inc.,78642
Residential,78744.0,5511 VINE HILL DR,LOT 4 BLK N ONION CREEK FOREST SEC 2 AMENDED,4800.0,1200.0,5511 VINE HILL DR,FRIDAY,AAR Inc.,78642
Residential,78744.0,6910 ONION CROSSING DR,,4800.0,580.0,6910 ONION CROSSING DR,FRIDAY,AAR Inc.,78642
Residential,78744.0,7100 ONION CROSSING DR,LOT 11 RESUB LOTS 1114 BLK H ONION CREEK FOREST SEC 4,4800.0,1296.0,7100 ONION CROSSING DR,FRIDAY,AAR Inc.,78642
